year,abbr,state,electoral_votes
1788,AK,Alaska,
1792,AK,Alaska,
1796,AK,Alaska,
1800,AK,Alaska,
1804,AK,Alaska,
1808,AK,Alaska,
1812,AK,Alaska,
1816,AK,Alaska,
1820,AK,Alaska,
1824,AK,Alaska,
1828,AK,Alaska,
1832,AK,Alaska,
1836,AK,Alaska,
1840,AK,Alaska,
1844,AK,Alaska,
1848,AK,Alaska,
1852,AK,Alaska,
1856,AK,Alaska,
1860,AK,Alaska,
1864,AK,Alaska,
1868,AK,Alaska,
1872,AK,Alaska,
1876,AK,Alaska,
1880,AK,Alaska,
1884,AK,Alaska,
1888,AK,Alaska,
1892,AK,Alaska,
1896,AK,Alaska,
1900,AK,Alaska,
1904,AK,Alaska,
1908,AK,Alaska,
1912,AK,Alaska,
1916,AK,Alaska,
1920,AK,Alaska,
1924,AK,Alaska,
1928,AK,Alaska,
1932,AK,Alaska,
1936,AK,Alaska,
1940,AK,Alaska,
1944,AK,Alaska,
1948,AK,Alaska,
1952,AK,Alaska,
1956,AK,Alaska,
1960,AK,Alaska,3
1964,AK,Alaska,3
1968,AK,Alaska,3
1972,AK,Alaska,3
1976,AK,Alaska,3
1980,AK,Alaska,3
1984,AK,Alaska,3
1988,AK,Alaska,3
1992,AK,Alaska,3
1996,AK,Alaska,3
2000,AK,Alaska,3
2004,AK,Alaska,3
2008,AK,Alaska,3
2012,AK,Alaska,3
2016,AK,Alaska,3
2020,AK,Alaska,3
2024,AK,Alaska,3
1788,AL,Alabama,
1792,AL,Alabama,
1796,AL,Alabama,
1800,AL,Alabama,
1804,AL,Alabama,
1808,AL,Alabama,
1812,AL,Alabama,
1816,AL,Alabama,
1820,AL,Alabama,3
1824,AL,Alabama,5
1828,AL,Alabama,5
1832,AL,Alabama,7
1836,AL,Alabama,7
1840,AL,Alabama,7
1844,AL,Alabama,9
1848,AL,Alabama,9
1852,AL,Alabama,9
1856,AL,Alabama,9
1860,AL,Alabama,9
1864,AL,Alabama,0
1868,AL,Alabama,8
1872,AL,Alabama,10
1876,AL,Alabama,10
1880,AL,Alabama,10
1884,AL,Alabama,10
1888,AL,Alabama,10
1892,AL,Alabama,11
1896,AL,Alabama,11
1900,AL,Alabama,11
1904,AL,Alabama,11
1908,AL,Alabama,11
1912,AL,Alabama,12
1916,AL,Alabama,12
1920,AL,Alabama,12
1924,AL,Alabama,12
1928,AL,Alabama,12
1932,AL,Alabama,11
1936,AL,Alabama,11
1940,AL,Alabama,11
1944,AL,Alabama,11
1948,AL,Alabama,11
1952,AL,Alabama,11
1956,AL,Alabama,11
1960,AL,Alabama,11
1964,AL,Alabama,10
1968,AL,Alabama,10
1972,AL,Alabama,9
1976,AL,Alabama,9
1980,AL,Alabama,9
1984,AL,Alabama,9
1988,AL,Alabama,9
1992,AL,Alabama,9
1996,AL,Alabama,9
2000,AL,Alabama,9
2004,AL,Alabama,9
2008,AL,Alabama,9
2012,AL,Alabama,9
2016,AL,Alabama,9
2020,AL,Alabama,9
2024,AL,Alabama,9
1788,AR,Arkansas,
1792,AR,Arkansas,
1796,AR,Arkansas,
1800,AR,Arkansas,
1804,AR,Arkansas,
1808,AR,Arkansas,
1812,AR,Arkansas,
1816,AR,Arkansas,
1820,AR,Arkansas,
1824,AR,Arkansas,
1828,AR,Arkansas,
1832,AR,Arkansas,
1836,AR,Arkansas,3
1840,AR,Arkansas,3
1844,AR,Arkansas,3
1848,AR,Arkansas,3
1852,AR,Arkansas,4
1856,AR,Arkansas,4
1860,AR,Arkansas,4
1864,AR,Arkansas,0
1868,AR,Arkansas,5
1872,AR,Arkansas,6
1876,AR,Arkansas,6
1880,AR,Arkansas,6
1884,AR,Arkansas,7
1888,AR,Arkansas,7
1892,AR,Arkansas,8
1896,AR,Arkansas,8
1900,AR,Arkansas,8
1904,AR,Arkansas,9
1908,AR,Arkansas,9
1912,AR,Arkansas,9
1916,AR,Arkansas,9
1920,AR,Arkansas,9
1924,AR,Arkansas,9
1928,AR,Arkansas,9
1932,AR,Arkansas,9
1936,AR,Arkansas,9
1940,AR,Arkansas,9
1944,AR,Arkansas,9
1948,AR,Arkansas,9
1952,AR,Arkansas,8
1956,AR,Arkansas,8
1960,AR,Arkansas,8
1964,AR,Arkansas,6
1968,AR,Arkansas,6
1972,AR,Arkansas,6
1976,AR,Arkansas,6
1980,AR,Arkansas,6
1984,AR,Arkansas,6
1988,AR,Arkansas,6
1992,AR,Arkansas,6
1996,AR,Arkansas,6
2000,AR,Arkansas,6
2004,AR,Arkansas,6
2008,AR,Arkansas,6
2012,AR,Arkansas,6
2016,AR,Arkansas,6
2020,AR,Arkansas,6
2024,AR,Arkansas,6
1788,AZ,Arizona,
1792,AZ,Arizona,
1796,AZ,Arizona,
1800,AZ,Arizona,
1804,AZ,Arizona,
1808,AZ,Arizona,
1812,AZ,Arizona,
1816,AZ,Arizona,
1820,AZ,Arizona,
1824,AZ,Arizona,
1828,AZ,Arizona,
1832,AZ,Arizona,
1836,AZ,Arizona,
1840,AZ,Arizona,
1844,AZ,Arizona,
1848,AZ,Arizona,
1852,AZ,Arizona,
1856,AZ,Arizona,
1860,AZ,Arizona,
1864,AZ,Arizona,
1868,AZ,Arizona,
1872,AZ,Arizona,
1876,AZ,Arizona,
1880,AZ,Arizona,
1884,AZ,Arizona,
1888,AZ,Arizona,
1892,AZ,Arizona,
1896,AZ,Arizona,
1900,AZ,Arizona,
1904,AZ,Arizona,
1908,AZ,Arizona,
1912,AZ,Arizona,3
1916,AZ,Arizona,3
1920,AZ,Arizona,3
1924,AZ,Arizona,3
1928,AZ,Arizona,3
1932,AZ,Arizona,3
1936,AZ,Arizona,3
1940,AZ,Arizona,3
1944,AZ,Arizona,4
1948,AZ,Arizona,4
1952,AZ,Arizona,4
1956,AZ,Arizona,4
1960,AZ,Arizona,4
1964,AZ,Arizona,5
1968,AZ,Arizona,5
1972,AZ,Arizona,6
1976,AZ,Arizona,6
1980,AZ,Arizona,6
1984,AZ,Arizona,7
1988,AZ,Arizona,7
1992,AZ,Arizona,8
1996,AZ,Arizona,8
2000,AZ,Arizona,8
2004,AZ,Arizona,10
2008,AZ,Arizona,10
2012,AZ,Arizona,11
2016,AZ,Arizona,11
2020,AZ,Arizona,11
2024,AZ,Arizona,11
1788,CA,California,
1792,CA,California,
1796,CA,California,
1800,CA,California,
1804,CA,California,
1808,CA,California,
1812,CA,California,
1816,CA,California,
1820,CA,California,
1824,CA,California,
1828,CA,California,
1832,CA,California,
1836,CA,California,
1840,CA,California,
1844,CA,California,
1848,CA,California,
1852,CA,California,4
1856,CA,California,4
1860,CA,California,4
1864,CA,California,5
1868,CA,California,5
1872,CA,California,6
1876,CA,California,6
1880,CA,California,6
1884,CA,California,8
1888,CA,California,8
1892,CA,California,9
1896,CA,California,9
1900,CA,California,9
1904,CA,California,10
1908,CA,California,10
1912,CA,California,13
1916,CA,California,13
1920,CA,California,13
1924,CA,California,13
1928,CA,California,13
1932,CA,California,22
1936,CA,California,22
1940,CA,California,22
1944,CA,California,25
1948,CA,California,25
1952,CA,California,32
1956,CA,California,32
1960,CA,California,32
1964,CA,California,40
1968,CA,California,40
1972,CA,California,45
1976,CA,California,45
1980,CA,California,45
1984,CA,California,47
1988,CA,California,47
1992,CA,California,54
1996,CA,California,54
2000,CA,California,54
2004,CA,California,55
2008,CA,California,55
2012,CA,California,55
2016,CA,California,55
2020,CA,California,55
2024,CA,California,54
1788,CO,Colorado,
1792,CO,Colorado,
1796,CO,Colorado,
1800,CO,Colorado,
1804,CO,Colorado,
1808,CO,Colorado,
1812,CO,Colorado,
1816,CO,Colorado,
1820,CO,Colorado,
1824,CO,Colorado,
1828,CO,Colorado,
1832,CO,Colorado,
1836,CO,Colorado,
1840,CO,Colorado,
1844,CO,Colorado,
1848,CO,Colorado,
1852,CO,Colorado,
1856,CO,Colorado,
1860,CO,Colorado,
1864,CO,Colorado,
1868,CO,Colorado,
1872,CO,Colorado,
1876,CO,Colorado,3
1880,CO,Colorado,3
1884,CO,Colorado,3
1888,CO,Colorado,3
1892,CO,Colorado,4
1896,CO,Colorado,4
1900,CO,Colorado,4
1904,CO,Colorado,5
1908,CO,Colorado,5
1912,CO,Colorado,6
1916,CO,Colorado,6
1920,CO,Colorado,6
1924,CO,Colorado,6
1928,CO,Colorado,6
1932,CO,Colorado,6
1936,CO,Colorado,6
1940,CO,Colorado,6
1944,CO,Colorado,6
1948,CO,Colorado,6
1952,CO,Colorado,6
1956,CO,Colorado,6
1960,CO,Colorado,6
1964,CO,Colorado,6
1968,CO,Colorado,6
1972,CO,Colorado,7
1976,CO,Colorado,7
1980,CO,Colorado,7
1984,CO,Colorado,8
1988,CO,Colorado,8
1992,CO,Colorado,8
1996,CO,Colorado,8
2000,CO,Colorado,8
2004,CO,Colorado,9
2008,CO,Colorado,9
2012,CO,Colorado,9
2016,CO,Colorado,9
2020,CO,Colorado,9
2024,CO,Colorado,10
1788,CT,Connecticut,7
1792,CT,Connecticut,9
1796,CT,Connecticut,9
1800,CT,Connecticut,9
1804,CT,Connecticut,9
1808,CT,Connecticut,9
1812,CT,Connecticut,9
1816,CT,Connecticut,9
1820,CT,Connecticut,9
1824,CT,Connecticut,8
1828,CT,Connecticut,8
1832,CT,Connecticut,8
1836,CT,Connecticut,8
1840,CT,Connecticut,8
1844,CT,Connecticut,6
1848,CT,Connecticut,6
1852,CT,Connecticut,6
1856,CT,Connecticut,6
1860,CT,Connecticut,6
1864,CT,Connecticut,6
1868,CT,Connecticut,6
1872,CT,Connecticut,6
1876,CT,Connecticut,6
1880,CT,Connecticut,6
1884,CT,Connecticut,6
1888,CT,Connecticut,6
1892,CT,Connecticut,6
1896,CT,Connecticut,6
1900,CT,Connecticut,6
1904,CT,Connecticut,7
1908,CT,Connecticut,7
1912,CT,Connecticut,7
1916,CT,Connecticut,7
1920,CT,Connecticut,7
1924,CT,Connecticut,7
1928,CT,Connecticut,7
1932,CT,Connecticut,8
1936,CT,Connecticut,8
1940,CT,Connecticut,8
1944,CT,Connecticut,8
1948,CT,Connecticut,8
1952,CT,Connecticut,8
1956,CT,Connecticut,8
1960,CT,Connecticut,8
1964,CT,Connecticut,8
1968,CT,Connecticut,8
1972,CT,Connecticut,8
1976,CT,Connecticut,8
1980,CT,Connecticut,8
1984,CT,Connecticut,8
1988,CT,Connecticut,8
1992,CT,Connecticut,8
1996,CT,Connecticut,8
2000,CT,Connecticut,8
2004,CT,Connecticut,7
2008,CT,Connecticut,7
2012,CT,Connecticut,7
2016,CT,Connecticut,7
2020,CT,Connecticut,7
2024,CT,Connecticut,7
1788,DC,D.C.,
1792,DC,D.C.,
1796,DC,D.C.,
1800,DC,D.C.,
1804,DC,D.C.,
1808,DC,D.C.,
1812,DC,D.C.,
1816,DC,D.C.,
1820,DC,D.C.,
1824,DC,D.C.,
1828,DC,D.C.,
1832,DC,D.C.,
1836,DC,D.C.,
1840,DC,D.C.,
1844,DC,D.C.,
1848,DC,D.C.,
1852,DC,D.C.,
1856,DC,D.C.,
1860,DC,D.C.,
1864,DC,D.C.,
1868,DC,D.C.,
1872,DC,D.C.,
1876,DC,D.C.,
1880,DC,D.C.,
1884,DC,D.C.,
1888,DC,D.C.,
1892,DC,D.C.,
1896,DC,D.C.,
1900,DC,D.C.,
1904,DC,D.C.,
1908,DC,D.C.,
1912,DC,D.C.,
1916,DC,D.C.,
1920,DC,D.C.,
1924,DC,D.C.,
1928,DC,D.C.,
1932,DC,D.C.,
1936,DC,D.C.,
1940,DC,D.C.,
1944,DC,D.C.,
1948,DC,D.C.,
1952,DC,D.C.,
1956,DC,D.C.,
1960,DC,D.C.,
1964,DC,D.C.,3
1968,DC,D.C.,3
1972,DC,D.C.,3
1976,DC,D.C.,3
1980,DC,D.C.,3
1984,DC,D.C.,3
1988,DC,D.C.,3
1992,DC,D.C.,3
1996,DC,D.C.,3
2000,DC,D.C.,3
2004,DC,D.C.,3
2008,DC,D.C.,3
2012,DC,D.C.,3
2016,DC,D.C.,3
2020,DC,D.C.,3
2024,DC,District of Columbia,3
1788,DE,Delaware,3
1792,DE,Delaware,3
1796,DE,Delaware,3
1800,DE,Delaware,3
1804,DE,Delaware,3
1808,DE,Delaware,3
1812,DE,Delaware,4
1816,DE,Delaware,4
1820,DE,Delaware,4
1824,DE,Delaware,3
1828,DE,Delaware,3
1832,DE,Delaware,3
1836,DE,Delaware,3
1840,DE,Delaware,3
1844,DE,Delaware,3
1848,DE,Delaware,3
1852,DE,Delaware,3
1856,DE,Delaware,3
1860,DE,Delaware,3
1864,DE,Delaware,3
1868,DE,Delaware,3
1872,DE,Delaware,3
1876,DE,Delaware,3
1880,DE,Delaware,3
1884,DE,Delaware,3
1888,DE,Delaware,3
1892,DE,Delaware,3
1896,DE,Delaware,3
1900,DE,Delaware,3
1904,DE,Delaware,3
1908,DE,Delaware,3
1912,DE,Delaware,3
1916,DE,Delaware,3
1920,DE,Delaware,3
1924,DE,Delaware,3
1928,DE,Delaware,3
1932,DE,Delaware,3
1936,DE,Delaware,3
1940,DE,Delaware,3
1944,DE,Delaware,3
1948,DE,Delaware,3
1952,DE,Delaware,3
1956,DE,Delaware,3
1960,DE,Delaware,3
1964,DE,Delaware,3
1968,DE,Delaware,3
1972,DE,Delaware,3
1976,DE,Delaware,3
1980,DE,Delaware,3
1984,DE,Delaware,3
1988,DE,Delaware,3
1992,DE,Delaware,3
1996,DE,Delaware,3
2000,DE,Delaware,3
2004,DE,Delaware,3
2008,DE,Delaware,3
2012,DE,Delaware,3
2016,DE,Delaware,3
2020,DE,Delaware,3
2024,DE,Delaware,3
1788,FL,Florida,
1792,FL,Florida,
1796,FL,Florida,
1800,FL,Florida,
1804,FL,Florida,
1808,FL,Florida,
1812,FL,Florida,
1816,FL,Florida,
1820,FL,Florida,
1824,FL,Florida,
1828,FL,Florida,
1832,FL,Florida,
1836,FL,Florida,
1840,FL,Florida,
1844,FL,Florida,
1848,FL,Florida,3
1852,FL,Florida,3
1856,FL,Florida,3
1860,FL,Florida,3
1864,FL,Florida,0
1868,FL,Florida,3
1872,FL,Florida,4
1876,FL,Florida,4
1880,FL,Florida,4
1884,FL,Florida,4
1888,FL,Florida,4
1892,FL,Florida,4
1896,FL,Florida,4
1900,FL,Florida,4
1904,FL,Florida,5
1908,FL,Florida,5
1912,FL,Florida,6
1916,FL,Florida,6
1920,FL,Florida,6
1924,FL,Florida,6
1928,FL,Florida,6
1932,FL,Florida,7
1936,FL,Florida,7
1940,FL,Florida,7
1944,FL,Florida,8
1948,FL,Florida,8
1952,FL,Florida,10
1956,FL,Florida,10
1960,FL,Florida,10
1964,FL,Florida,14
1968,FL,Florida,14
1972,FL,Florida,17
1976,FL,Florida,17
1980,FL,Florida,17
1984,FL,Florida,21
1988,FL,Florida,21
1992,FL,Florida,25
1996,FL,Florida,25
2000,FL,Florida,25
2004,FL,Florida,27
2008,FL,Florida,27
2012,FL,Florida,29
2016,FL,Florida,29
2020,FL,Florida,29
2024,FL,Florida,30
1788,GA,Georgia,5
1792,GA,Georgia,4
1796,GA,Georgia,4
1800,GA,Georgia,4
1804,GA,Georgia,6
1808,GA,Georgia,6
1812,GA,Georgia,8
1816,GA,Georgia,8
1820,GA,Georgia,8
1824,GA,Georgia,9
1828,GA,Georgia,9
1832,GA,Georgia,11
1836,GA,Georgia,11
1840,GA,Georgia,11
1844,GA,Georgia,10
1848,GA,Georgia,10
1852,GA,Georgia,10
1856,GA,Georgia,10
1860,GA,Georgia,10
1864,GA,Georgia,0
1868,GA,Georgia,9
1872,GA,Georgia,11
1876,GA,Georgia,11
1880,GA,Georgia,11
1884,GA,Georgia,12
1888,GA,Georgia,12
1892,GA,Georgia,13
1896,GA,Georgia,13
1900,GA,Georgia,13
1904,GA,Georgia,13
1908,GA,Georgia,13
1912,GA,Georgia,14
1916,GA,Georgia,14
1920,GA,Georgia,14
1924,GA,Georgia,14
1928,GA,Georgia,14
1932,GA,Georgia,12
1936,GA,Georgia,12
1940,GA,Georgia,12
1944,GA,Georgia,12
1948,GA,Georgia,12
1952,GA,Georgia,12
1956,GA,Georgia,12
1960,GA,Georgia,12
1964,GA,Georgia,12
1968,GA,Georgia,12
1972,GA,Georgia,12
1976,GA,Georgia,12
1980,GA,Georgia,12
1984,GA,Georgia,12
1988,GA,Georgia,12
1992,GA,Georgia,13
1996,GA,Georgia,13
2000,GA,Georgia,13
2004,GA,Georgia,15
2008,GA,Georgia,15
2012,GA,Georgia,16
2016,GA,Georgia,16
2020,GA,Georgia,16
2024,GA,Georgia,16
1788,HI,Hawaii,
1792,HI,Hawaii,
1796,HI,Hawaii,
1800,HI,Hawaii,
1804,HI,Hawaii,
1808,HI,Hawaii,
1812,HI,Hawaii,
1816,HI,Hawaii,
1820,HI,Hawaii,
1824,HI,Hawaii,
1828,HI,Hawaii,
1832,HI,Hawaii,
1836,HI,Hawaii,
1840,HI,Hawaii,
1844,HI,Hawaii,
1848,HI,Hawaii,
1852,HI,Hawaii,
1856,HI,Hawaii,
1860,HI,Hawaii,
1864,HI,Hawaii,
1868,HI,Hawaii,
1872,HI,Hawaii,
1876,HI,Hawaii,
1880,HI,Hawaii,
1884,HI,Hawaii,
1888,HI,Hawaii,
1892,HI,Hawaii,
1896,HI,Hawaii,
1900,HI,Hawaii,
1904,HI,Hawaii,
1908,HI,Hawaii,
1912,HI,Hawaii,
1916,HI,Hawaii,
1920,HI,Hawaii,
1924,HI,Hawaii,
1928,HI,Hawaii,
1932,HI,Hawaii,
1936,HI,Hawaii,
1940,HI,Hawaii,
1944,HI,Hawaii,
1948,HI,Hawaii,
1952,HI,Hawaii,
1956,HI,Hawaii,
1960,HI,Hawaii,3
1964,HI,Hawaii,4
1968,HI,Hawaii,4
1972,HI,Hawaii,4
1976,HI,Hawaii,4
1980,HI,Hawaii,4
1984,HI,Hawaii,4
1988,HI,Hawaii,4
1992,HI,Hawaii,4
1996,HI,Hawaii,4
2000,HI,Hawaii,4
2004,HI,Hawaii,4
2008,HI,Hawaii,4
2012,HI,Hawaii,4
2016,HI,Hawaii,4
2020,HI,Hawaii,4
2024,HI,Hawaii,4
1788,IA,Iowa,
1792,IA,Iowa,
1796,IA,Iowa,
1800,IA,Iowa,
1804,IA,Iowa,
1808,IA,Iowa,
1812,IA,Iowa,
1816,IA,Iowa,
1820,IA,Iowa,
1824,IA,Iowa,
1828,IA,Iowa,
1832,IA,Iowa,
1836,IA,Iowa,
1840,IA,Iowa,
1844,IA,Iowa,
1848,IA,Iowa,4
1852,IA,Iowa,4
1856,IA,Iowa,4
1860,IA,Iowa,4
1864,IA,Iowa,8
1868,IA,Iowa,8
1872,IA,Iowa,11
1876,IA,Iowa,11
1880,IA,Iowa,11
1884,IA,Iowa,13
1888,IA,Iowa,13
1892,IA,Iowa,13
1896,IA,Iowa,13
1900,IA,Iowa,13
1904,IA,Iowa,13
1908,IA,Iowa,13
1912,IA,Iowa,13
1916,IA,Iowa,13
1920,IA,Iowa,13
1924,IA,Iowa,13
1928,IA,Iowa,13
1932,IA,Iowa,11
1936,IA,Iowa,11
1940,IA,Iowa,11
1944,IA,Iowa,10
1948,IA,Iowa,10
1952,IA,Iowa,10
1956,IA,Iowa,10
1960,IA,Iowa,10
1964,IA,Iowa,9
1968,IA,Iowa,9
1972,IA,Iowa,8
1976,IA,Iowa,8
1980,IA,Iowa,8
1984,IA,Iowa,8
1988,IA,Iowa,8
1992,IA,Iowa,7
1996,IA,Iowa,7
2000,IA,Iowa,7
2004,IA,Iowa,7
2008,IA,Iowa,7
2012,IA,Iowa,6
2016,IA,Iowa,6
2020,IA,Iowa,6
2024,IA,Iowa,6
1788,ID,Idaho,
1792,ID,Idaho,
1796,ID,Idaho,
1800,ID,Idaho,
1804,ID,Idaho,
1808,ID,Idaho,
1812,ID,Idaho,
1816,ID,Idaho,
1820,ID,Idaho,
1824,ID,Idaho,
1828,ID,Idaho,
1832,ID,Idaho,
1836,ID,Idaho,
1840,ID,Idaho,
1844,ID,Idaho,
1848,ID,Idaho,
1852,ID,Idaho,
1856,ID,Idaho,
1860,ID,Idaho,
1864,ID,Idaho,
1868,ID,Idaho,
1872,ID,Idaho,
1876,ID,Idaho,
1880,ID,Idaho,
1884,ID,Idaho,
1888,ID,Idaho,
1892,ID,Idaho,3
1896,ID,Idaho,3
1900,ID,Idaho,3
1904,ID,Idaho,3
1908,ID,Idaho,3
1912,ID,Idaho,4
1916,ID,Idaho,4
1920,ID,Idaho,4
1924,ID,Idaho,4
1928,ID,Idaho,4
1932,ID,Idaho,4
1936,ID,Idaho,4
1940,ID,Idaho,4
1944,ID,Idaho,4
1948,ID,Idaho,4
1952,ID,Idaho,4
1956,ID,Idaho,4
1960,ID,Idaho,4
1964,ID,Idaho,4
1968,ID,Idaho,4
1972,ID,Idaho,4
1976,ID,Idaho,4
1980,ID,Idaho,4
1984,ID,Idaho,4
