year,abbr,D_votes,R_votes,pres_margin,pres_margin_str,electoral_votes,relative_margin,relative_margin_str,relative_margin_delta,relative_margin_delta_str,national_margin,national_margin_str,national_margin_delta,national_margin_delta_str,pres_margin_delta,pres_margin_delta_str
1980,GA,890955,654168,0.15324799384903337,D+15.3,12,0.2563991692374798,D+25.6,-0.05961981810136169,R+6.0,-0.10315117538844643,R+10.3,-0.1258980852359533,R+12.6,-0.185517903337315,R+18.6
1984,GA,706628,1068722,-0.20395640296279607,R+20.4,12,-0.021489379122302116,R+2.1,-0.27788854835978194,R+27.8,-0.18246702384049396,R+18.2,-0.07931584845204753,R+7.9,-0.35720439681182947,R+35.7
1988,GA,714792,1081331,-0.20407232689520707,R+20.4,12,-0.12742322111786053,R+12.7,-0.10593384199555841,R+10.6,-0.07664910577734656,R+7.7,0.1058179180631474,D+10.6,-0.00011592393241099952,R+0.0
1992,GA,1008966,995252,0.0068425690219327436,D+0.7,13,-0.06556810674757546,R+6.6,0.06185511437028507,D+6.2,0.0724106757695082,D+7.2,0.14905978154685476,D+14.9,0.21091489591713983,D+21.1
1996,GA,1053849,1080843,-0.012645383971083416,R+1.3,13,-0.10872586448808749,R+10.9,-0.04315775774051203,R+4.3,0.09608048051700407,D+9.6,0.023669804747495873,D+2.4,-0.019487952993016158,R+1.9
2000,GA,1116230,1419720,-0.1196750724580532,R+12.0,13,-0.12480853082753375,R+12.5,-0.016082666339446258,R+1.6,0.005133458369480549,D+0.5,-0.09094702214752352,R+9.1,-0.10702968848696978,R+10.7
2004,GA,1366149,1914254,-0.16708465392819113,R+16.7,15,-0.14242435380464358,R+14.2,-0.017615822977109827,R+1.8,-0.024660300123547554,R+2.5,-0.0297937584930281,R+3.0,-0.047409581470137935,R+4.7
2008,GA,1844123,2048759,-0.052566710216235685,R+5.3,15,-0.12798205578784114,R+12.8,0.01444229801680244,D+1.4,0.07541534557160545,D+7.5,0.10007564569515301,D+10.0,0.11451794371195545,D+11.5
2012,GA,1773827,2078688,-0.07913298196113448,R+7.9,16,-0.1193221842267238,R+11.9,0.008659871561117333,D+0.9,0.040189202265589315,D+4.0,-0.03522614330601614,R+3.5,-0.026566271744898798,R+2.7
2016,GA,1877963,2089104,-0.05322345198606426,R+5.3,16,-0.07645748406652136,R+7.6,0.04286470016020244,D+4.3,0.023234032080457098,D+2.3,-0.016955170185132217,R+1.7,0.02590952997507022,D+2.6
2020,GA,2473633,2461854,0.0023865932581729017,D+0.2,16,-0.042973149164401044,R+4.3,0.03348433490212032,D+3.3,0.04535974242257394,D+4.5,0.022125710342116845,D+2.2,0.05561004524423716,D+5.6
2024,GA,2548017,2663117,-0.02208732302796282,R+2.2,16,-0.0070906315937626675,R+0.7,0.03588251757063837,D+3.6,-0.014996691434200151,R+1.5,-0.0603564338567741,R+6.0,-0.02447391628613572,R+2.4
1976,HI,147375,140003,0.025652624765987654,D+2.6,4,0.0029057149184807604,D+0.3,0,0,0.022746909847506894,D+2.3,0,0,0,0
1980,HI,135879,130112,0.021681184701738028,D+2.2,4,0.12483236009018445,D+12.5,0.12192664517170368,D+12.2,-0.10315117538844643,R+10.3,-0.1258980852359533,R+12.6,-0.003971440064249626,R+0.4
1984,HI,147154,185050,-0.11407448435298792,R+11.4,4,0.06839253948750604,D+6.8,-0.05643982060267841,R+5.6,-0.18246702384049396,R+18.2,-0.07931584845204753,R+7.9,-0.13575566905472594,R+13.6
1988,HI,192364,158625,0.09612551960317844,D+9.6,4,0.17277462538052502,D+17.3,0.10438208589301898,D+10.4,-0.07664910577734656,R+7.7,0.1058179180631474,D+10.6,0.21020000395616636,D+21.0
1992,HI,179310,136822,0.13439955461642605,D+13.4,4,0.06198887884691785,D+6.2,-0.11078574653360716,R+11.1,0.0724106757695082,D+7.2,0.14905978154685476,D+14.9,0.03827403501324761,D+3.8
1996,HI,205012,113943,0.28552303616497626,D+28.6,4,0.1894425556479722,D+18.9,0.12745367680105435,D+12.7,0.09608048051700407,D+9.6,0.023669804747495873,D+2.4,0.1511234815485502,D+15.1
2000,HI,205286,137845,0.1965459256085868,D+19.7,4,0.19141246723910627,D+19.1,0.001969911591134077,D+0.2,0.005133458369480549,D+0.5,-0.09094702214752352,R+9.1,-0.08897711055638946,R+8.9
2004,HI,231708,194191,0.08808896005860545,D+8.8,4,0.112749260182153,D+11.3,-0.07866320705695326,R+7.9,-0.024660300123547554,R+2.5,-0.0297937584930281,R+3.0,-0.10845696554998135,R+10.8
2008,HI,325871,120566,0.4598745175691083,D+46.0,4,0.38445917199750285,D+38.4,0.27170991181534987,D+27.2,0.07541534557160545,D+7.5,0.10007564569515301,D+10.0,0.37178555751050285,D+37.2
2012,HI,306658,121015,0.4340769700214884,D+43.4,4,0.39388776775589907,D+39.4,0.009428595758396219,D+0.9,0.040189202265589315,D+4.0,-0.03522614330601614,R+3.5,-0.025797547547619926,R+2.6
2016,HI,266891,128847,0.3488267490107091,D+34.9,4,0.325592716930252,D+32.6,-0.06829505082564707,R+6.8,0.023234032080457098,D+2.3,-0.016955170185132217,R+1.7,-0.08525022101077928,R+8.5
2020,HI,366130,196864,0.30065329293029763,D+30.1,4,0.2552935505077237,D+25.5,-0.07029916642252831,R+7.0,0.04535974242257394,D+4.5,0.022125710342116845,D+2.2,-0.04817345608041146,R+4.8
2024,HI,313044,193661,0.23560651661223,D+23.6,4,0.25060320804643016,D+25.1,-0.004690342461293517,R+0.5,-0.014996691434200151,R+1.5,-0.0603564338567741,R+6.0,-0.06504677631806763,R+6.5
1976,IA,619931,632864,-0.010323317063047026,R+1.0,8,-0.03307022691055392,R+3.3,0,0,0.022746909847506894,D+2.3,0,0,0,0
1980,IA,508672,676026,-0.14126300542416717,R+14.1,8,-0.038111830035720745,R+3.8,-0.005041603125166827,R+0.5,-0.10315117538844643,R+10.3,-0.1258980852359533,R+12.6,-0.13093968836112013,R+13.1
1984,IA,605620,703088,-0.07447650660040284,R+7.4,8,0.10799051724009112,D+10.8,0.14610234727581187,D+14.6,-0.18246702384049396,R+18.2,-0.07931584845204753,R+7.9,0.06678649882376433,D+6.7
1988,IA,670557,545355,0.10296962280165012,D+10.3,8,0.1796187285789967,D+18.0,0.07162821133890557,D+7.2,-0.07664910577734656,R+7.7,0.1058179180631474,D+10.6,0.17744612940205295,D+17.7
1992,IA,586353,504891,0.07465058227124273,D+7.5,7,0.0022399065017345288,D+0.2,-0.17737882207726216,R+17.7,0.0724106757695082,D+7.2,0.14905978154685476,D+14.9,-0.02831904053040739,R+2.8
1996,IA,620258,492644,0.11466777847465455,D+11.5,7,0.018587297957650475,D+1.9,0.016347391455915947,D+1.6,0.09608048051700407,D+9.6,0.023669804747495873,D+2.4,0.04001719620341182,D+4.0
2000,IA,638517,634373,0.0032555837503633464,D+0.3,7,-0.0018778746191172027,R+0.2,-0.02046517257676768,R+2.0,0.005133458369480549,D+0.5,-0.09094702214752352,R+9.1,-0.1114121947242912,R+11.1
2004,IA,741898,751957,-0.006733585254258278,R+0.7,7,0.017926714869289276,D+1.8,0.01980458948840648,D+2.0,-0.024660300123547554,R+2.5,-0.0297937584930281,R+3.0,-0.009989169004621625,R+1.0
2008,IA,828940,682379,0.09697555578934693,D+9.7,7,0.021560210217741474,D+2.2,0.003633495348452198,D+0.4,0.07541534557160545,D+7.5,0.10007564569515301,D+10.0,0.10370914104360521,D+10.4
2012,IA,822544,730617,0.05918703856200355,D+5.9,6,0.018997836296414237,D+1.9,-0.0025623739213272365,R+0.3,0.040189202265589315,D+4.0,-0.03522614330601614,R+3.5,-0.037788517227343374,R+3.8
2016,IA,653669,800983,-0.1012709569024069,R+10.1,6,-0.124504988982864,R+12.5,-0.14350282527927824,R+14.4,0.023234032080457098,D+2.3,-0.016955170185132217,R+1.7,-0.16045799546441045,R+16.0
2020,IA,759061,897672,-0.08366526169274108,R+8.4,6,-0.12902500411531503,R+12.9,-0.0045200151324510385,R+0.5,0.04535974242257394,D+4.5,0.022125710342116845,D+2.2,0.017605695209665817,D+1.8
2024,IA,707278,927019,-0.13445597709596235,R+13.4,6,-0.1194592856617622,R+11.9,0.009565718453552835,D+1.0,-0.014996691434200151,R+1.5,-0.0603564338567741,R+6.0,-0.050790715403221276,R+5.1
1976,ID,126549,204151,-0.2346598125188993,R+23.5,4,-0.2574067223664062,R+25.7,0,0,0.022746909847506894,D+2.3,0,0,0,0
1980,ID,110192,290699,-0.4502645357466244,R+45.0,4,-0.34711336035817797,R+34.7,-0.08970663799177175,R+9.0,-0.10315117538844643,R+10.3,-0.1258980852359533,R+12.6,-0.2156047232277251,R+21.6
1984,ID,108510,297523,-0.46551142394829975,R+46.6,4,-0.2830444001078058,R+28.3,0.06406896025037218,D+6.4,-0.18246702384049396,R+18.2,-0.07931584845204753,R+7.9,-0.015246888201675357,R+1.5
1988,ID,147272,253881,-0.265756457012661,R+26.6,4,-0.1891073512353144,R+18.9,0.09393704887249138,D+9.4,-0.07664910577734656,R+7.7,0.1058179180631474,D+10.6,0.19975496693563877,D+20.0
1992,ID,137013,202645,-0.1932296604231315,R+19.3,4,-0.2656403361926397,R+26.6,-0.0765329849573253,R+7.7,0.0724106757695082,D+7.2,0.14905978154685476,D+14.9,0.07252679658952949,D+7.3
1996,ID,165443,256595,-0.2159805515143186,R+21.6,4,-0.3120610320313227,R+31.2,-0.04642069583868297,R+4.6,0.09608048051700407,D+9.6,0.023669804747495873,D+2.4,-0.02275089109118711,R+2.3
2000,ID,138637,336937,-0.41696980911488013,R+41.7,4,-0.42210326748436067,R+42.2,-0.11004223545303798,R+11.0,0.005133458369480549,D+0.5,-0.09094702214752352,R+9.1,-0.20098925760056152,R+20.1
2004,ID,181098,409235,-0.3864547636672861,R+38.6,4,-0.36179446354373856,R+36.2,0.0603088039406221,D+6.0,-0.024660300123547554,R+2.5,-0.0297937584930281,R+3.0,0.030515045447594036,D+3.1
2008,ID,236440,403012,-0.26049179610041096,R+26.0,4,-0.3359071416720164,R+33.6,0.025887321871722158,D+2.6,0.07541534557160545,D+7.5,0.10007564569515301,D+10.0,0.12596296756687514,D+12.6
2012,ID,212787,420911,-0.3284277368715066,R+32.8,4,-0.3686169391370959,R+36.9,-0.032709797465079515,R+3.3,0.040189202265589315,D+4.0,-0.03522614330601614,R+3.5,-0.06793594077109566,R+6.8
2016,ID,189765,409055,-0.3662035336161117,R+36.6,4,-0.3894375656965688,R+38.9,-0.020820626559472866,R+2.1,0.023234032080457098,D+2.3,-0.016955170185132217,R+1.7,-0.03777579674460507,R+3.8
2020,ID,287021,554119,-0.3175428585015574,R+31.8,4,-0.36290260092413135,R+36.3,0.02653496477243744,D+2.7,0.04535974242257394,D+4.5,0.022125710342116845,D+2.2,0.0486606751145543,D+4.9
2024,ID,274972,605246,-0.37521841180253074,R+37.5,4,-0.3602217203683306,R+36.0,0.0026808805558007354,D+0.3,-0.014996691434200151,R+1.5,-0.0603564338567741,R+6.0,-0.05767555330097335,R+5.8
1976,IL,2271295,2364269,-0.020056674872787863,R+2.0,26,-0.04280358472029476,R+4.3,0,0,0.022746909847506894,D+2.3,0,0,0,0
1980,IL,1981413,2358049,-0.08679324764221924,R+8.7,26,0.016357927746227185,D+1.6,0.059161512466521946,D+5.9,-0.10315117538844643,R+10.3,-0.1258980852359533,R+12.6,-0.06673657276943137,R+6.7
1984,IL,2086499,2707103,-0.129465066144415,R+12.9,24,0.05300195769607896,D+5.3,0.036644029949851775,D+3.7,-0.18246702384049396,R+18.2,-0.07931584845204753,R+7.9,-0.04267181850219576,R+4.3
1988,IL,2215940,2310939,-0.0209855399271772,R+2.1,24,0.05566356585016936,D+5.6,0.002661608154090396,D+0.3,-0.07664910577734656,R+7.7,0.1058179180631474,D+10.6,0.1084795262172378,D+10.8
1992,IL,2453350,1734096,0.17176436424493594,D+17.2,22,0.09935368847542773,D+9.9,0.04369012262525838,D+4.4,0.0724106757695082,D+7.2,0.14905978154685476,D+14.9,0.19274990417211313,D+19.3
1996,IL,2341744,1587021,0.19210184370915542,D+19.2,22,0.09602136319215135,D+9.6,-0.0033323252832763856,R+0.3,0.09608048051700407,D+9.6,0.023669804747495873,D+2.4,0.020337479464219488,D+2.0
2000,IL,2589026,2019421,0.12360020631679175,D+12.4,22,0.1184667479473112,D+11.8,0.02244538475515985,D+2.2,0.005133458369480549,D+0.5,-0.09094702214752352,R+9.1,-0.06850163739236367,R+6.9
2004,IL,2891550,2345946,0.10417268099106901,D+10.4,21,0.12883298111461655,D+12.9,0.010366233167305353,D+1.0,-0.024660300123547554,R+2.5,-0.0297937584930281,R+3.0,-0.01942752532572274,R+1.9
2008,IL,3419348,2031179,0.2546852808911872,D+25.5,21,0.17926993531958174,D+17.9,0.05043695420496519,D+5.0,0.07541534557160545,D+7.5,0.10007564569515301,D+10.0,0.15051259990011817,D+15.1
2012,IL,3019512,2135216,0.17155046784233813,D+17.2,20,0.13136126557674882,D+13.1,-0.04790866974283292,R+4.8,0.040189202265589315,D+4.0,-0.03522614330601614,R+3.5,-0.08313481304884907,R+8.3
2016,IL,3090729,2146015,0.1804010278142296,D+18.0,20,0.1571669957337725,D+15.7,0.02580573015702367,D+2.6,0.023234032080457098,D+2.3,-0.016955170185132217,R+1.7,0.008850559971891464,D+0.9
2020,IL,3471915,2446891,0.1731808746561384,D+17.3,20,0.12782113223356445,D+12.8,-0.02934586350020804,R+2.9,0.04535974242257394,D+4.5,0.022125710342116845,D+2.2,-0.007220153158091186,R+0.7
2024,IL,3062863,2449079,0.11135530816543425,D+11.1,19,0.1263519995996344,D+12.6,-0.0014691326339300592,R+0.1,-0.014996691434200151,R+1.5,-0.0603564338567741,R+6.0,-0.061825566490704156,R+6.2
1976,IN,1014714,1183958,-0.07697555615389653,R+7.7,13,-0.09972246600140343,R+10.0,0,0,0.022746909847506894,D+2.3,0,0,0,0
1980,IN,844197,1255656,-0.19594657340299534,R+19.6,13,-0.09279539801454892,R+9.3,0.00692706798685451,D+0.7,-0.10315117538844643,R+10.3,-0.1258980852359533,R+12.6,-0.11897101724909881,R+11.9
1984,IN,841481,1377230,-0.24146858243367433,R+24.1,12,-0.059001558593180375,R+5.9,0.03379383942136854,D+3.4,-0.18246702384049396,R+18.2,-0.07931584845204753,R+7.9,-0.04552200903067899,R+4.6
1988,IN,860643,1297763,-0.2025198224986402,R+20.3,12,-0.12587071672129363,R+12.6,-0.06686915812811325,R+6.7,-0.07664910577734656,R+7.7,0.1058179180631474,D+10.6,0.03894875993503413,D+3.9
1992,IN,848420,989375,-0.07669789067877537,R+7.7,12,-0.14910856644828357,R+14.9,-0.023237849726989945,R+2.3,0.0724106757695082,D+7.2,0.14905978154685476,D+14.9,0.12582193181986484,D+12.6
1996,IN,887424,1006693,-0.06296812710091299,R+6.3,12,-0.15904860761791706,R+15.9,-0.009940041169633484,R+1.0,0.09608048051700407,D+9.6,0.023669804747495873,D+2.4,0.013729763577862389,D+1.4
2000,IN,901980,1245836,-0.1600956506516387,R+16.0,12,-0.16522910902111923,R+16.5,-0.006180501403202171,R+0.6,0.005133458369480549,D+0.5,-0.09094702214752352,R+9.1,-0.09712752355072571,R+9.7
2004,IN,969011,1479438,-0.20846952499316915,R+20.8,11,-0.1838092248696216,R+18.4,-0.01858011584850236,R+1.9,-0.024660300123547554,R+2.5,-0.0297937584930281,R+3.0,-0.048373874341530454,R+4.8
2008,IN,1374039,1345648,0.010439068907561789,D+1.0,11,-0.06497627666404367,R+6.5,0.11883294820557792,D+11.9,0.07541534557160545,D+7.5,0.10007564569515301,D+10.0,0.21890859390073095,D+21.9
2012,IN,1152887,1420543,-0.10400749194654604,R+10.4,11,-0.14419669421213535,R+14.4,-0.07922041754809168,R+7.9,0.040189202265589315,D+4.0,-0.03522614330601614,R+3.5,-0.11444656085410783,R+11.4
2016,IN,1033126,1557286,-0.20234619049016142,R+20.2,11,-0.22558022257061852,R+22.6,-0.08138352835848317,R+8.1,0.023234032080457098,D+2.3,-0.016955170185132217,R+1.7,-0.09833869854361538,R+9.8
2020,IN,1242416,1729519,-0.16390096014885924,R+16.4,11,-0.2092607025714332,R+20.9,0.016319519999185322,D+1.6,0.04535974242257394,D+4.5,0.022125710342116845,D+2.2,0.03844523034130218,D+3.8
2024,IN,1163603,1720347,-0.19304911666291025,R+19.3,11,-0.1780524252287101,R+17.8,0.031208277342723106,D+3.1,-0.014996691434200151,R+1.5,-0.0603564338567741,R+6.0,-0.029148156514051005,R+2.9
1976,KS,430421,502752,-0.07751081525076273,R+7.8,7,-0.10025772509826962,R+10.0,0,0,0.022746909847506894,D+2.3,0,0,0,0
1980,KS,326150,566812,-0.2695097887704068,R+27.0,7,-0.1663586133819604,R+16.6,-0.06610088828369078,R+6.6,-0.10315117538844643,R+10.3,-0.1258980852359533,R+12.6,-0.1919989735196441,R+19.2
1984,KS,333149,677296,-0.3405895422313931,R+34.1,7,-0.15812251839089914,R+15.8,0.00823609499106126,D+0.8,-0.18246702384049396,R+18.2,-0.07931584845204753,R+7.9,-0.07107975346098627,R+7.1
1988,KS,422636,554049,-0.13455003404372956,R+13.5,7,-0.057900928266383,R+5.8,0.10022159012451613,D+10.0,-0.07664910577734656,R+7.7,0.1058179180631474,D+10.6,0.20603950818766353,D+20.6
1992,KS,390434,449951,-0.0708211117523516,R+7.1,6,-0.1432317875218598,R+14.3,-0.0853308592554768,R+8.5,0.0724106757695082,D+7.2,0.14905978154685476,D+14.9,0.06372892229137796,D+6.4
1996,KS,387659,583245,-0.20144731095968293,R+20.1,6,-0.297527791476687,R+29.8,-0.1542960039548272,R+15.4,0.09608048051700407,D+9.6,0.023669804747495873,D+2.4,-0.13062619920733132,R+13.1
2000,KS,399276,622332,-0.2183381492705617,R+21.8,6,-0.22347160764004223,R+22.3,0.07405618383664478,D+7.4,0.005133458369480549,D+0.5,-0.09094702214752352,R+9.1,-0.01689083831087876,R+1.7
2004,KS,434993,736456,-0.2573419756216446,R+25.7,6,-0.23268167549809707,R+23.3,-0.009210067858054838,R+0.9,-0.024660300123547554,R+2.5,-0.0297937584930281,R+3.0,-0.03900382635108293,R+3.9
2008,KS,514765,699655,-0.15224551637818876,R+15.2,6,-0.2276608619497942,R+22.8,0.00502081354830286,D+0.5,0.07541534557160545,D+7.5,0.10007564569515301,D+10.0,0.10509645924345587,D+10.5
2012,KS,440726,692634,-0.22226653490506107,R+22.2,6,-0.2624557371706504,R+26.2,-0.0347948752208562,R+3.5,0.040189202265589315,D+4.0,-0.03522614330601614,R+3.5,-0.07002101852687231,R+7.0
2016,KS,427005,671018,-0.22222940685213333,R+22.2,6,-0.24546343893259043,R+24.5,0.016992298238059977,D+1.7,0.023234032080457098,D+2.3,-0.016955170185132217,R+1.7,3.7128052927742905e-05,D+0.0
2020,KS,570323,771406,-0.14986856511262706,R+15.0,6,-0.19522830753520098,R+19.5,0.05023513139738944,D+5.0,0.04535974242257394,D+4.5,0.022125710342116845,D+2.2,0.07236084173950627,D+7.2
2024,KS,544853,758802,-0.1641147389455032,R+16.4,6,-0.14911804751130306,R+14.9,0.046110260023897925,D+4.6,-0.014996691434200151,R+1.5,-0.0603564338567741,R+6.0,-0.014246173832876158,R+1.4
1976,KY,615717,531852,0.07308057293286939,D+7.3,9,0.050333663085362496,D+5.0,0,0,0.022746909847506894,D+2.3,0,0,0,0
1980,KY,617417,635274,-0.014254912025391737,R+1.4,9,0.08889626336305469,D+8.9,0.03856260027769219,D+3.9,-0.10315117538844643,R+10.3,-0.1258980852359533,R+12.6,-0.08733548495826113,R+8.7
1984,KY,539539,821702,-0.20728364778903957,R+20.7,9,-0.024816623948545613,R+2.5,-0.1137128873116003,R+11.4,-0.18246702384049396,R+18.2,-0.07931584845204753,R+7.9,-0.19302873576364785,R+19.3
1988,KY,580368,734281,-0.11707535623577092,R+11.7,9,-0.040426250458424365,R+4.0,-0.015609626509878752,R+1.6,-0.07664910577734656,R+7.7,0.1058179180631474,D+10.6,0.09020829155326865,D+9.0
1992,KY,665104,617178,0.037375553895321,D+3.7,8,-0.035035121874187204,R+3.5,0.005391128584237161,D+0.5,0.0724106757695082,D+7.2,0.14905978154685476,D+14.9,0.1544509101310919,D+15.4
1996,KY,636614,623283,0.010581023686856941,D+1.1,8,-0.08549945683014713,R+8.5,-0.05046433495595993,R+5.0,0.09608048051700407,D+9.6,0.023669804747495873,D+2.4,-0.026794530208464055,R+2.7
2000,KY,638923,872520,-0.1545523053135315,R+15.5,8,-0.15968576368301204,R+16.0,-0.07418630685286491,R+7.4,0.005133458369480549,D+0.5,-0.09094702214752352,R+9.1,-0.16513332900038846,R+16.5
2004,KY,712733,1069439,-0.20015239830947854,R+20.0,8,-0.17549209818593098,R+17.5,-0.015806334502918934,R+1.6,-0.024660300123547554,R+2.5,-0.0297937584930281,R+3.0,-0.04560009299594703,R+4.6
2008,KY,751985,1048462,-0.16466855175409217,R+16.5,8,-0.24008389732569763,R+24.0,-0.06459179913976665,R+6.5,0.07541534557160545,D+7.5,0.10007564569515301,D+10.0,0.03548384655538636,D+3.5
2012,KY,679370,1087190,-0.23085544787609819,R+23.1,8,-0.2710446501416875,R+27.1,-0.030960752815989867,R+3.1,0.040189202265589315,D+4.0,-0.03522614330601614,R+3.5,-0.06618689612200601,R+6.6
2016,KY,628854,1202971,-0.3134125803501972,R+31.3,8,-0.3366466124306543,R+33.7,-0.06560196228896681,R+6.6,0.023234032080457098,D+2.3,-0.016955170185132217,R+1.7,-0.08255713247409902,R+8.3
2020,KY,772474,1326646,-0.26400205800525933,R+26.4,8,-0.3093618004278333,R+30.9,0.027284812002821013,D+2.7,0.04535974242257394,D+4.5,0.022125710342116845,D+2.2,0.04941052234493787,D+4.9
2024,KY,704043,1337494,-0.3102814203220417,R+31.0,8,-0.2952847288878416,R+29.5,0.014077071539991715,D+1.4,-0.014996691434200151,R+1.5,-0.0603564338567741,R+6.0,-0.04627936231678237,R+4.6
1976,LA,661365,587446,0.05919150295761328,D+5.9,10,0.03644459311010639,D+3.6,0,0,0.022746909847506894,D+2.3,0,0,0,0
1980,LA,708453,792853,-0.05621771977198519,R+5.6,10,0.046933455616461235,D+4.7,0.010488862506354849,D+1.0,-0.10315117538844643,R+10.3,-0.1258980852359533,R+12.6,-0.11540922272959847,R+11.5
1984,LA,651586,1037299,-0.228383223250843,R+22.8,10,-0.04591619941034905,R+4.6,-0.09284965502681028,R+9.3,-0.18246702384049396,R+18.2,-0.07931584845204753,R+7.9,-0.1721655034788578,R+17.2
1988,LA,717460,883702,-0.10382584647899464,R+10.4,10,-0.027176740701648078,R+2.7,0.018739458708700973,D+1.9,-0.07664910577734656,R+7.7,0.1058179180631474,D+10.6,0.12455737677184837,D+12.5
1992,LA,815971,733386,0.053302757208312866,D+5.3,9,-0.019107918561195335,R+1.9,0.008068822140452743,D+0.8,0.0724106757695082,D+7.2,0.14905978154685476,D+14.9,0.1571286036873075,D+15.7
1996,LA,927837,712586,0.13121676543184288,D+13.1,9,0.035136284914838806,D+3.5,0.05424420347603414,D+5.4,0.09608048051700407,D+9.6,0.023669804747495873,D+2.4,0.07791400822353,D+7.8
2000,LA,792344,927871,-0.07878491932694459,R+7.9,9,-0.08391837769642514,R+8.4,-0.11905466261126395,R+11.9,0.005133458369480549,D+0.5,-0.09094702214752352,R+9.1,-0.21000168475878747,R+21.0
2004,LA,820299,1102169,-0.14661882538486987,R+14.7,9,-0.12195852526132231,R+12.2,-0.03804014756489717,R+3.8,-0.024660300123547554,R+2.5,-0.0297937584930281,R+3.0,-0.06783390605792528,R+6.8
2008,LA,782989,1148275,-0.18914348323170732,R+18.9,9,-0.2645588288033128,R+26.5,-0.14260030354199046,R+14.3,0.07541534557160545,D+7.5,0.10007564569515301,D+10.0,-0.042524657846837455,R+4.3
2012,LA,809141,1152262,-0.17493651228227958,R+17.5,8,-0.21512571454786888,R+21.5,0.04943311425544389,D+4.9,0.040189202265589315,D+4.0,-0.03522614330601614,R+3.5,0.014206970949427744,D+1.4
2016,LA,780154,1178638,-0.20343354475615583,R+20.3,8,-0.22666757683661293,R+22.7,-0.011541862288744043,R+1.2,0.023234032080457098,D+2.3,-0.016955170185132217,R+1.7,-0.02849703247387625,R+2.8
2020,LA,856034,1255776,-0.18928880912582097,R+18.9,8,-0.23464855154839492,R+23.5,-0.007980974711781996,R+0.8,0.04535974242257394,D+4.5,0.022125710342116845,D+2.2,0.01414473563033486,D+1.4
2024,LA,766870,1208505,-0.2235702081883187,R+22.4,8,-0.20857351675411853,R+20.9,0.02607503479427639,D+2.6,-0.014996691434200151,R+1.5,-0.0603564338567741,R+6.0,-0.03428139906249772,R+3.4
1976,MA,1429475,1030276,0.16229244342211874,D+16.2,14,0.13954553357461186,D+14.0,0,0,0.022746909847506894,D+2.3,0,0,0,0
1980,MA,1053802,1057631,-0.001813460337126492,R+0.2,14,0.10133771505131993,D+10.1,-0.03820781852329193,R+3.8,-0.10315117538844643,R+10.3,-0.1258980852359533,R+12.6,-0.16410590375924522,R+16.4
1984,MA,1239606,1310936,-0.027966604745187494,R+2.8,13,0.15450041909530646,D+15.5,0.05316270404398653,D+5.3,-0.18246702384049396,R+18.2,-0.07931584845204753,R+7.9,-0.026153144408061,R+2.6
1988,MA,1401415,1194635,0.07965177866373914,D+8.0,13,0.1563008844410857,D+15.6,0.0018004653457792397,D+0.2,-0.07664910577734656,R+7.7,0.1058179180631474,D+10.6,0.10761838340892663,D+10.8
1992,MA,1318639,805039,0.24184457342403132,D+24.2,12,0.1694338976545231,D+16.9,0.013133013213437406,D+1.3,0.0724106757695082,D+7.2,0.14905978154685476,D+14.9,0.1621927947602922,D+16.2
1996,MA,1571509,718058,0.3727565081083017,D+37.3,12,0.2766760275912976,D+27.7,0.10724212993677451,D+10.7,0.09608048051700407,D+9.6,0.023669804747495873,D+2.4,0.13091193468427037,D+13.1
2000,MA,1616487,878502,0.29578687521267627,D+29.6,12,0.29065341684319573,D+29.1,0.01397738925189812,D+1.4,0.005133458369480549,D+0.5,-0.09094702214752352,R+9.1,-0.07696963289562542,R+7.7
2004,MA,1803800,1071109,0.2548571102598378,D+25.5,12,0.27951741038338535,D+28.0,-0.011136006459810388,R+1.1,-0.024660300123547554,R+2.5,-0.0297937584930281,R+3.0,-0.040929764952838454,R+4.1
2008,MA,1904097,1108854,0.2639415642670591,D+26.4,12,0.18852621869545366,D+18.9,-0.09099119168793168,R+9.1,0.07541534557160545,D+7.5,0.10007564569515301,D+10.0,0.009084454007221299,D+0.9
2012,MA,1921290,1188314,0.2357136149812002,D+23.6,11,0.19552441271561088,D+19.6,0.006998194020157222,D+0.7,0.040189202265589315,D+4.0,-0.03522614330601614,R+3.5,-0.028227949285858922,R+2.8
2016,MA,1995196,1090893,0.2930255737925899,D+29.3,11,0.2697915417121328,D+27.0,0.07426712899652194,D+7.4,0.023234032080457098,D+2.3,-0.016955170185132217,R+1.7,0.05731195881138973,D+5.7
2020,MA,2382202,1167202,0.34231099080296296,D+34.2,11,0.296951248380389,D+29.7,0.02715970666825618,D+2.7,0.04535974242257394,D+4.5,0.022125710342116845,D+2.2,0.049285417010373034,D+4.9
2024,MA,2126518,1251303,0.2591063884083852,D+25.9,11,0.2741030798425853,D+27.4,-0.022848168537803693,R+2.3,-0.014996691434200151,R+1.5,-0.0603564338567741,R+6.0,-0.08320460239457778,R+8.3
1976,MD,759612,672661,0.06070839846872768,D+6.1,10,0.037961488621220785,D+3.8,0,0,0.022746909847506894,D+2.3,0,0,0,0
1980,MD,726161,680606,0.03238276132436999,D+3.2,10,0.1355339367128164,D+13.6,0.09757244809159563,D+9.8,-0.10315117538844643,R+10.3,-0.1258980852359533,R+12.6,-0.028325637144357686,R+2.8
